gn:id,gp:id_factual,gp:id_blackmad,reason
5014120,12588794,23424921,mismatch
2966815,20072343,20072344,mismatch
2668429,907607,907608,mismatch
3488113,110228,110227,mismatch
3392088,56125243,444151,mismatch
8096685,55829267,55828617,mismatch
3312521,20072400,20072401,mismatch
8158534,28737502,28737504,mismatch
3657722,26809945,420034,mismatch
2972566,628702,628703,mismatch
1516457,2265106,2265105,mismatch
3107774,12693661,764977,mismatch
8299872,14357,14355,mismatch
2142680,1099661,1099662,mismatch
3699371,419448,419449,mismatch
5175777,55833751,55834482,mismatch
8154652,28737479,28737477,mismatch
8154652,28737478,28737477,mismatch
3679509,358328,358326,mismatch
3004473,602734,602735,mismatch
218804,1473353,1473358,mismatch
3993457,135974,135972,mismatch
3530935,115916,115917,mismatch
2968548,631877,631871,mismatch
1517563,2265005,2265004,mismatch
3388622,450271,450270,mismatch
3406263,423843,423841,mismatch
2654612,14063,14062,mismatch
8276672,1289890,1289292,mismatch
2679801,903522,903523,mismatch
2221385,1479204,1479203,mismatch
2701915,894865,894866,mismatch
3157182,858504,858503,mismatch
2827907,696952,12636308,mismatch
3003807,603247,20178951,mismatch
7286586,785152,12684955,mismatch
3461143,435709,435707,mismatch
2675195,905453,905456,mismatch
682428,869054,869058,mismatch
682428,869056,869058,mismatch
2945429,640694,12634331,mismatch
2270751,737427,737428,mismatch
2640389,31867,31865,mismatch
212803,1475362,1475361,mismatch
2376719,1504943,1504946,mismatch
1165638,2211440,2211441,mismatch
2032491,2265301,2265300,mismatch
6942415,28997539,28997535,mismatch
253182,962938,962937,mismatch
3982789,147846,147845,mismatch
5211950,55839039,55838811,mismatch
7126356,55832720,55833048,mismatch
1039854,1558160,1558163,mismatch
3114348,769437,769441,mismatch
2654489,29415,29413,mismatch
112121,2252910,2252911,mismatch
4740173,55827182,55827180,mismatch
2966293,559882,20074596,mismatch
166141,1942884,1942883,mismatch
166141,1942885,1942883,mismatch
1136250,1924732,1924734,mismatch
2634484,39874,39870,mismatch
5204293,23511309,28744598,mismatch
2736901,29383979,744873,mismatch
3110119,773335,773332,mismatch
8160971,28737946,28737945,mismatch
1311207,995136,995156,mismatch
1311207,995131,995156,mismatch
1311207,995139,995156,mismatch
264642,946398,946399,mismatch
3559235,62506,62504,mismatch
2515210,764900,29372841,mismatch
2697205,896685,896684,mismatch
2738851,56041958,742026,mismatch
2133379,1053822,1053821,mismatch
3650273,26810622,420035,mismatch
5200771,55839114,55838656,mismatch
2999240,604624,604622,mismatch
7123403,55831991,55831994,mismatch
5105822,55836627,55836521,mismatch
2517350,761384,761385,mismatch
4741146,55826629,55828075,mismatch
3122291,760737,29372203,mismatch
3655270,26810089,373017,mismatch
1219377,1935765,1936588,mismatch
3001707,20180708,20180505,mismatch
3488964,109732,109734,mismatch
623023,830466,830465,mismatch
5125123,56047572,12485627,mismatch
2868968,676361,12623120,mismatch
3995165,134269,56123377,mismatch
2740342,29385788,55868833,mismatch
3151419,860156,860154,mismatch
136379,2225416,2254544,mismatch
4900048,55832679,55829835,mismatch
2655326,13077,13075,mismatch
2890482,665970,12623225,mismatch
3581791,12506283,12506282,mismatch
2515305,764790,12689358,mismatch
3129309,20220659,753193,mismatch
6161221,4221,23405834,mismatch
729646,837679,837677,mismatch
3074239,790771,12605684,mismatch
5157367,55835106,55834333,mismatch
3464366,431369,456183,mismatch
99103,1975387,1979396,mismatch
2794707,971884,12602501,mismatch
3122584,760451,760452,mismatch
3006236,20179187,600123,mismatch
5208061,55838313,55835778,mismatch
2515777,763664,12691016,mismatch
3121515,761481,761482,mismatch
124910,2238619,2254898,mismatch
3664581,429075,429076,mismatch
2099805,1051880,1051881,mismatch
5105822,55836512,55836521,mismatch
3010990,596968,596965,mismatch
2635206,38525,38526,mismatch
2733826,749046,749044,mismatch
2955410,635533,12623065,mismatch
2857582,683113,12634418,mismatch
5810465,55817373,55816223,mismatch
2742546,29383735,736724,mismatch
3925703,420619,420618,mismatch
3691682,420613,420614,mismatch
1181951,2210849,2210848,mismatch
5324644,55815114,55814155,mismatch
5176444,55835008,55834175,mismatch
256696,957747,957748,mismatch
618463,480208,480178,mismatch
2820851,700190,12634475,mismatch
719637,56043638,12577926,mismatch
1699180,56121389,1183726,mismatch
3660356,26809760,420038,mismatch
3660361,26809761,375775,mismatch
3925703,419402,420618,mismatch
7286394,12685256,785714,mismatch
2518069,759776,12695514,mismatch
2928564,12634264,648969,mismatch
1018292,1579911,1579910,mismatch
3004471,602732,602730,mismatch
3128253,754319,23413410,mismatch
2812502,12623163,704677,mismatch
2812625,12623162,704676,mismatch
6356044,15003467,12693384,mismatch
3947025,420157,419442,mismatch
3947199,420156,419440,mismatch
7651393,1469742,1469743,mismatch
4915597,55822894,55831921,mismatch
3057848,821973,29401261,mismatch
205059,1477403,1477402,mismatch
3108280,775255,775254,mismatch
3403948,434233,427109,mismatch
8161714,28737161,28737160,mismatch
8161714,28737162,28737160,mismatch
3490446,108893,108892,mismatch
4900048,55830450,55829835,mismatch
4742567,55828103,55828030,mismatch
2968533,631835,631832,mismatch
6362404,12695229,773018,mismatch
3448898,450230,450231,mismatch
4915597,55833247,55831921,mismatch
724331,29401793,820545,mismatch
2640743,31254,28835411,mismatch
2163769,12505994,12505995,mismatch
449889,24918076,24918634,mismatch
1288012,1013403,1013402,mismatch
1288012,1013405,1013402,mismatch
3444831,437554,455709,mismatch
5021400,55821497,55821043,mismatch
1718338,56121271,1169217,mismatch
3518176,55887067,144805,mismatch
1700933,56121276,1199495,mismatch
8154749,28737744,28737745,mismatch
1098271,1557055,1557054,mismatch
6940608,56190050,56190051,mismatch
135503,2231530,2215329,mismatch
130819,2231533,2231534,mismatch
166141,1947190,1942883,mismatch
1220163,2213350,2213231,mismatch
8149972,28737606,28737607,mismatch
8151003,28737600,28737601,mismatch
8150744,28737608,28737609,mismatch
725160,818535,29399961,mismatch
2743156,735754,735752,mismatch
2871266,12634780,675200,mismatch
1790923,12685614,12685612,mismatch
2316614,1473275,1473277,mismatch
3003012,603861,20181373,mismatch
3003012,603862,20181373,mismatch
3148826,860971,860972,mismatch
2880150,12623405,670589,mismatch
3182295,710773,710775,mismatch
4781725,12590411,12590410,mismatch
7201937,55835893,55835445,mismatch
3394665,440510,449513,mismatch
2890670,665859,12635149,mismatch
6355255,20221120,12695029,mismatch
5378407,23507301,55815428,mismatch
4691930,2504153,2406080,mismatch
2961173,20074552,20074553,mismatch
3104877,778508,765053,mismatch
1524305,2264407,2255471,mismatch
2963444,20072781,561225,mismatch
720015,807940,55848161,mismatch
3650267,375833,26810623,mismatch
4680194,55827192,55826325,mismatch
3654643,26810143,376114,mismatch
145407,2242196,2254266,mismatch
7103586,2232936,2232935,mismatch
4887084,55823770,55831925,mismatch
2667094,887371,908189,mismatch
938694,1588874,1588975,mismatch
4914764,55830113,55830895,mismatch
2700925,895256,895257,mismatch
134341,2231655,2231658,mismatch
3465585,430212,430210,mismatch
5072113,55823096,55823125,mismatch
3490209,109031,109035,mismatch
4915597,55823391,55831921,mismatch
8261377,349463,26794306,mismatch
4020523,55909852,55900393,mismatch
7123675,55833216,55832462,mismatch
7286077,12684959,785156,mismatch
2637829,34836,34837,mismatch
2952692,636890,12623479,mismatch
2767280,546563,12674390,mismatch
3118052,12691402,765593,mismatch
115222,2249815,2249814,mismatch
3402920,456125,459085,mismatch
2421690,56061053,1335222,mismatch
2419513,56061051,1336505,mismatch
3801539,55915827,55917530,mismatch
3025975,585175,585174,mismatch
2752312,730946,730945,mismatch
1856184,1112344,28412289,mismatch
3465083,430676,430673,mismatch
1042820,1557833,1557832,mismatch
3883201,26794146,348328,mismatch
2947316,639727,12635140,mismatch
3662252,461170,56125209,mismatch
2801150,967830,12602244,mismatch
1180247,2194755,22723191,mismatch
2961173,562379,20074553,mismatch
2961173,562378,20074553,mismatch
3168579,722314,722315,mismatch
2915238,12625844,655129,mismatch
608679,2260712,2260710,mismatch
134341,2227433,2231658,mismatch
1609068,1225469,56064683,mismatch
2965311,20071356,560385,mismatch
2907983,12634538,658405,mismatch
3464574,56125168,431223,mismatch
2739897,29382108,740653,mismatch
5335557,55814895,55812751,mismatch
3447087,452958,458138,mismatch
8152490,28737264,28737265,mismatch
8161785,28737260,28737261,mismatch
4893240,55829905,55830365,mismatch
2920977,652306,12635487,mismatch
727439,839397,839398,mismatch
727439,839396,839398,mismatch
6942826,12599696,12600370,mismatch
2999748,607335,607333,mismatch
4398002,55824057,55824890,mismatch
4012176,55915652,55903044,mismatch
2977166,626755,626753,mismatch
2965426,560320,20071351,mismatch
2965418,560324,560323,mismatch
6348989,55826725,55827181,mismatch
7122319,55832998,55832291,mismatch
5356486,55815823,55814924,mismatch
5356486,55815826,55814924,mismatch
2261620,736949,750784,mismatch
5899304,56071320,56071324,mismatch
2640801,26786274,12481064,mismatch
3001585,605765,605764,mismatch
141584,2219038,2254403,mismatch
131183,2231058,2254703,mismatch
3119236,12694625,763848,mismatch
217054,1473632,1473634,mismatch
4722993,55826761,55820609,mismatch
2455545,1502233,56014851,mismatch
3406334,426957,423646,mismatch
2865085,678504,12623500,mismatch
2261637,55867492,23412878,mismatch
4900048,55831060,55829835,mismatch
136640,2224617,2224618,mismatch
2648458,21214,21213,mismatch
2893022,664849,12623400,mismatch
6358424,12689573,775340,mismatch
144275,2216019,2216055,mismatch
5401700,55815158,55813446,mismatch
2805667,708259,12623509,mismatch
2932382,646958,12635088,mismatch
4900048,55829801,55829835,mismatch
3036843,576678,12637400,mismatch
4912980,55830507,55831020,mismatch
8163521,28737271,28737269,mismatch
6949638,12632675,15002797,mismatch
137271,2223861,2254509,mismatch
2518564,759182,759183,mismatch
6358944,20226306,12694099,mismatch
5357144,55814038,23506419,mismatch
4012176,117994,55903044,mismatch
3162439,856885,856884,mismatch
3123344,759560,12690821,mismatch
6155132,29373774,23402801,mismatch
2646460,24080,24081,mismatch
143576,2216864,2216737,mismatch
2843775,12635191,690041,mismatch
3653595,26810243,376155,mismatch
3445667,461523,454592,mismatch
6359182,22661208,12694861,mismatch
209396,1292817,1292819,mismatch
6347869,55821183,55821230,mismatch
1792621,12685373,2127374,mismatch
1791236,12685378,12685377,mismatch
2813308,704351,12623508,mismatch
5168298,55834496,55833916,mismatch
5269478,55831375,55831207,mismatch
3945068,420192,418714,mismatch
3945654,420194,420193,mismatch
