data.nytimes.com,sws.geonames.org,dbpedia.org,rdf.freebase.com
http://data.nytimes.com/N13463766342949717891,http://sws.geonames.org/4276727/,http://dbpedia.org/resource/Oregon_Trail,http://rdf.freebase.com/ns/en.oregon_trail
http://data.nytimes.com/48055219160067649431,http://sws.geonames.org/5370164/,http://dbpedia.org/resource/Manteca%2C_California,http://rdf.freebase.com/ns/en.manteca
http://data.nytimes.com/80900831575383915771.rdf,,,
http://data.nytimes.com/N2328748757763661411,http://sws.geonames.org/5115843/,http://dbpedia.org/resource/Flatbush%2C_Brooklyn,http://rdf.freebase.com/ns/en.flatbush_brooklyn
http://data.nytimes.com/N12930380387917339601,http://sws.geonames.org/1796236/,http://dbpedia.org/resource/Shanghai,http://rdf.freebase.com/ns/en.shanghai
http://data.nytimes.com/N268254687191771581,http://sws.geonames.org/5582371/,http://dbpedia.org/resource/Steamboat_Springs%2C_Colorado,http://rdf.freebase.com/ns/en.steamboat_springs
http://data.nytimes.com/N6765043964285306331,http://sws.geonames.org/5097575/,http://dbpedia.org/resource/Edgewater%2C_New_Jersey,http://rdf.freebase.com/ns/en.edgewater
http://data.nytimes.com/N2812200229046513771,http://sws.geonames.org/5113366/,http://dbpedia.org/resource/Columbia_County%2C_New_York,http://rdf.freebase.com/ns/en.columbia_county_new_york
http://data.nytimes.com/N83477772457738658371.rdf,,,
http://data.nytimes.com/N13119092272026235131.rdf,,,
http://data.nytimes.com/N18811158560460649661.rdf,,,
http://data.nytimes.com/40119954210473190841,http://sws.geonames.org/4957608/,http://dbpedia.org/resource/Baxter_State_Park,http://rdf.freebase.com/ns/en.baxter_state_park
http://data.nytimes.com/48058782396036021021,http://sws.geonames.org/3174051/,http://dbpedia.org/resource/Mantua,http://rdf.freebase.com/ns/en.mantua
http://data.nytimes.com/76174961567129377221.rdf,,,
http://data.nytimes.com/N38453942375020441401,http://sws.geonames.org/3024297/,http://dbpedia.org/resource/Colmar,http://rdf.freebase.com/ns/en.colmar
http://data.nytimes.com/37626484350373990901,http://sws.geonames.org/6298323/,http://dbpedia.org/resource/Fort_Drum,http://rdf.freebase.com/ns/en.fort_drum_new_york
http://data.nytimes.com/1369224404072545591.rdf,,,
http://data.nytimes.com/51524845856012369921.rdf,,,
http://data.nytimes.com/80512863436151941251.rdf,,,
http://data.nytimes.com/50495356098784195861.rdf,,,
http://data.nytimes.com/56427572758257624861,http://sws.geonames.org/1809498/,http://dbpedia.org/resource/Guilin,http://rdf.freebase.com/ns/en.guilin
http://data.nytimes.com/N38428196934330614771.rdf,,,
