wd:id,faa:code
Q8688,SFO
Q17567,SDL
Q127530,MIA
Q130864,SWF
Q175028,SYR
Q213717,ORD
Q319654,LGA
Q452290,MLU
Q493759,IWA
Q528578,VNY
Q576617,BLV
Q597021,DUG
Q597793,BCT
Q598817,BUR
Q619607,37AK
Q619959,SJS
Q649929,TYS
Q649964,MLC
Q650060,GHG
Q650075,MCB
Q650218,MYU
Q651188,ADK
Q651495,TYS
Q651607,BLF
Q651666,15Z
Q651887,TLR
Q652061,HQZ
Q652265,BFL
Q652272,MBS
Q652283,LUM
Q652505,DTW
Q652738,MMK
Q676576,DCA
Q735912,LSV
Q797442,MRB
Q847772,GSO
Q847779,ILM
Q865724,BHM
Q866831,MEM
Q912916,PHX
Q937590,ISP
Q939904,PPG
Q953843,YAK
Q1025454,JAN
Q1029543,AVQ
Q1135486,DAY
Q1137513,TNI
Q1147092,ROR
Q1156865,IND
Q1177897,DMA
Q1199087,SDF
Q1257667,GSN
Q1268666,DYS
Q1321656,VQS
Q1425838,STL
Q1430745,ALB
Q1431348,GYY
Q1431894,AAA
Q1432196,ORF
Q1432602,RST
Q1433080,TVC
Q1444431,TKO
Q1444500,MTW
Q1471549,OAJ
Q1528865,MUT
Q1570890,AMA
Q1575175,JRB
Q1578972,ABQ
Q1583022,MCF
Q1626991,SBD
Q1636887,CEF
Q1654155,UBE
Q1654308,BKW
Q1654486,TNT
Q1654627,BVI
Q1654709,UKL
Q1654898,SJX
Q1654907,DGL
Q1654955,BMT
Q1654969,COE
Q1654971,DHT
Q1655177,CRO
Q1655201,3DW
Q1655266,HDH
Q1655287,JQF
Q1655398,MKN
Q1655420,DKB
Q1655506,COQ
Q1655525,CTY
Q1655681,DED
Q1655815,MIE
Q1655853,AKO
Q1655919,X95
Q1656069,DEE
Q1656327,BBD
Q1656460,AK23
Q1656746,RPB
Q1656893,DGW
Q1656899,CLF
Q1657104,DFI
Q1657236,CFV
Q1657258,CAE
Q1657287,BLI
Q1658297,CJX
Q1658303,DLO
Q1658451,AEG
Q1707663,CHK
Q1707744,DSV
Q1708005,DCY
Q1708040,FCI
Q1708129,CPK
Q1708338,JHW
Q1708361,DCR
Q1708371,DCM
Q1708812,DAB
Q1781135,KOA
Q1835609,YKN
Q1836114,CDR
Q1836163,CNU
Q1837682,CIK
Q1857178,RIC
Q1940767,SZL
Q1941464,BFM
Q1961079,TVK
Q1961288,CDC
Q1962346,CEA
Q1972210,NTD
Q2060338,HOM
Q2065880,ANB
Q2087441,VRB
Q2088517,DVT
Q2213419,HSV
