wd:id,iata:code
Q1547,LYS
Q4102,LYN
Q8688,SFO
Q8709,STN
Q8721,GLA
Q8727,LPL
Q8996,DSA
Q8999,EXT
Q9694,AMS
Q14324,KGC
Q15100,NAC
Q15102,PLO
Q15106,RMK
Q15107,KBY
Q15109,WYA
Q15498,HBA
Q16810,KHH
Q17431,ZSE
Q17440,ABX
Q17441,ARM
Q17445,BZD
Q17521,BWU
Q17526,BRK
Q17531,CAZ
Q17534,OOM
Q17542,DBO
Q17545,GUL
Q17549,HXX
Q17567,SCF
Q17568,NRA
Q17571,NYN
Q17597,WGE
Q17599,WVA
Q17603,WWY
Q17609,DRW
Q17611,LEL
Q17613,KFG
Q17617,MGT
Q17704,HKG
Q17901,BSJ
Q17933,HTU
Q18566,XMC
Q25226,CXR
Q25783,TOB
Q27049,GNA
Q27217,MVQ
Q27596,FKI
Q29104,MLE
Q32999,VIE
Q36171,LAQ
Q36460,MRU
Q39164,BOO
Q41293,SEB
Q44553,BEN
Q46033,FRA
Q47151,KZN
Q49249,BDO
Q56216,CXP
Q56973,BCN
Q58754,DOH
Q60484,TST
Q61396,SCW
Q62220,TQA
Q63860,TPJ
Q65335,OES
Q76269,FBU
Q81512,ARZ
Q81573,KNP
Q82240,HIJ
Q93617,XQU
Q120326,MOZ
Q127331,KRP
Q127530,MIA
Q130863,LPU
Q130864,SWF
Q130927,PGI
Q133796,NGS
Q139875,QAQ
Q151846,PXU
Q153191,BUT
Q158732,STR
Q162139,ZYL
Q165146,DLI
Q174140,MBJ
Q175028,SYR
Q176576,TJA
Q177216,XMN
Q186614,DME
Q197915,MQZ
Q197933,APW
Q201374,COR
Q210559,OSL
Q213717,ORD
Q217226,TIA
Q219287,MPA
Q221279,VTE
Q223416,ORY
Q223499,ARN
Q240694,HKT
Q241370,MZI
Q250026,YEI
Q252768,AGJ
Q256013,YPJ
Q257433,HAA
Q257631,OTP
Q257903,KCU
Q269633,ALY
Q273462,VKO
Q278725,GUT
Q282909,LWO
Q283970,SOC
Q289972,GVA
Q303788,AOS
Q304438,BGW
Q317619,BBH
Q319654,LGA
Q321656,QMZ
Q322119,NDZ
Q323983,BBJ
Q328183,AGB
Q332302,LUN
Q372615,TLS
Q374558,RMQ
Q381639,ZJI
Q381808,CBP
Q385191,HRG
Q385356,ATQ
Q387628,JNJ
Q390522,MHV
Q392728,DUR
Q392790,MWZ
Q420847,LBV
Q427003,ZPC
Q441476,BGN
Q452290,MLU
Q459156,SZW
Q465071,WAW
Q472049,MER
Q474682,LEQ
Q491220,KAG
Q492992,SSN
Q493039,SHO
Q493759,AZA
Q498954,HSN
Q500945,BUD
Q503364,BLR
Q504382,ADB
Q511316,YBZ
Q518910,HMA
Q521292,TAI
Q522496,TRW
Q525486,MFM
Q528578,VNY
Q530773,MGA
Q531481,GAY
Q531800,BPX
Q540273,CTA
Q540512,VLY
Q542097,LPT
Q543189,TLN
Q555940,SJO
Q555952,RTB
Q559107,NKG
Q559454,ZAH
Q573547,CCJ
Q576617,BLV
Q583424,PBC
Q583587,BOC
Q585403,JGR
Q587675,SAL
Q588038,SAL
Q589550,FRS
Q593237,KVG
Q597021,DUG
Q597718,KBC
Q597793,BCT
Q597828,BLT
Q598215,BSK
Q598231,IXR
Q598282,BFN
Q598324,BKQ
Q598556,YCP
Q598617,YBI
Q598661,BOY
Q598785,QLD
Q598817,BUR
Q598850,BBI
Q604275,GMZ
Q606067,LGG
Q609603,DEA
Q611949,PPN
Q612731,BOD
Q614687,GHU
Q619607,BMX
Q619662,BCW
Q619702,ZTU
Q619915,YBV
Q619980,BGO
Q620005,BHR
Q620047,BDP
Q620049,IVG
Q623400,WJU
Q630524,TLL
Q632277,LEI
Q635826,SHJ
Q636824,NTO
Q637028,ORN
Q639161,FNC
Q641967,CUN
Q642313,DZA
Q643113,HFA
Q643783,PRN
Q644963,BZV
Q646013,KNH
Q647253,ENS
Q649929,TYS
Q649964,MLC
Q650060,GHG
Q650075,MCB
Q650108,YMH
Q650218,MYU
Q650535,YNM
Q651156,MBU
Q651188,ADK
Q651210,MSW
Q651288,MEH
Q651307,MLK
Q651365,YXH
Q651372,MAH
Q651392,MLN
Q651495,TYS
Q651511,LMQ
Q651585,CUE
Q651607,BLF
Q651666,MXY
Q651887,TLR
Q652061,HQZ
Q652135,FRI
Q652179,RBT
Q652265,BFL
Q652272,MBS
Q652331,MMJ
Q652383,IRP
Q652505,DTW
Q652738,MMK
Q655892,GWW
Q656592,UCK
Q656777,GEA
Q657271,MAO
Q657369,AWA
Q658537,TPS
Q661389,LUG
Q663819,XFW
Q665948,GCM
Q667181,CCF
Q669261,PEN
Q670038,TNR
Q673433,EPS
Q676576,DCA
Q681134,BJM
Q681940,ABO
Q684964,SYX
Q685497,SGE
Q687392,QLS
Q690905,BQQ
Q695659,RGS
Q700852,LNZ
Q701217,HSZ
Q702035,TNN
Q703794,ERF
Q703921,HUN
Q704823,ZAZ
Q706450,LBC
Q708281,MZG
Q708494,GNI
Q708499,DSO
Q708517,OGN
Q712367,CYI
Q713881,HTR
Q717673,CMJ
Q717689,WOT
Q721497,ROB
Q721780,LLW
Q729886,TRD
Q730221,BOU
Q732214,GAE
Q733738,MEL
Q733998,GIG
Q735756,ESH
Q735912,LSV
Q741372,UKB
Q745654,UIK
Q749497,CGK
Q753531,BJL
Q765414,XLS
Q766356,POP
Q766860,BJV
Q767660,MTY
Q769099,GRQ
Q770306,URT
Q770594,KYZ
Q772823,FSP
Q773547,OUA
Q774669,TSN
Q777977,QFN
Q778213,TBS
Q779805,BRI
Q781851,MQC
Q787097,OXF
Q794552,YMX
Q794560,PAP
