wd:id,icao:code
Q1547,LFLL
Q4102,LFLY
Q8688,KSFO
Q8709,EGSS
Q8721,EGPF
Q8727,EGGP
Q8975,EGNT
Q8996,EGCN
Q8999,EGTE
Q9688,EDDT
Q9688,EDBT
Q9694,EHAM
Q14324,YKSC
Q15100,YNRC
Q15102,YPLC
Q15106,YREN
Q15107,YKBY
Q15109,YWHA
Q15498,YMHB
Q15531,YSMI
Q16810,RCKH
Q17431,FMEP
Q17440,YMAY
Q17441,YARM
Q17445,YBRN
Q17521,YSBK
Q17526,YBKE
Q17531,YCBA
Q17534,YCOM
Q17542,YSDU
Q17545,YGLB
Q17549,YHAY
Q17567,KSDL
Q17568,YNAR
Q17571,YNYN
Q17597,YWLG
Q17599,YWVA
Q17603,YWWL
Q17609,YPDN
Q17611,YLEV
Q17613,YKKG
Q17617,YMGB
Q17704,VHHH
Q17901,YBNS
Q17907,YBRS
Q17933,YHPN
Q18566,YMCO
Q24116,EBFN
Q25226,VVCR
Q25783,HLGN
Q27049,UMMG
Q27217,UMOO
Q27596,FZIC
Q29104,VRMM
Q29759,LIDF
Q32999,LOWW
Q36171,HLLQ
Q36460,FIMP
Q39164,ENBO
Q41293,HLLS
Q43363,EBCV
Q44553,HLLB
Q45938,NZAA
Q46033,EDDF
Q47151,UWKD
Q49249,WICC
Q56216,WIHL
Q56973,LEBL
Q58754,OTBD
Q60484,VTST
Q61396,UUYY
Q62220,BGTA
Q62423,BGAM
Q63860,VNTJ
Q65335,SAVN
Q76269,ENFB
Q81512,FNZE
Q81573,FNCP
Q82240,RJOA
Q116725,ROMY
Q120326,NTTM
Q127331,EKKA
Q127530,KMIA
Q130863,WRLP
Q130864,KSWF
Q130927,FNCH
Q130946,FZFE
Q133796,RJFU
Q139875,LIAP
Q151846,VVPK
Q153191,VQBT
Q158732,EDDS
Q162139,VGSY
Q165146,VVDL
Q172864,LOXZ
Q174140,MKJS
Q175028,KSYR
Q176576,SLTJ
Q177216,ZSAM
Q182348,KWAL
Q186614,UUDD
Q197915,FNMQ
Q197933,NSFA
Q201374,SACO
Q210559,ENGM
Q213717,KORD
Q217226,LATI
Q219287,FYKM
Q221279,VLVT
Q223416,LFPO
Q223499,ESSA
Q240694,VTSP
Q241370,GAMB
Q250026,LTBR
Q252768,RORA
Q256013,CYLA
Q257433,ENHK
Q257631,LROP
Q257903,HUMI
Q269633,HEAX
Q278725,ETUO
Q282909,UKLL
Q283970,WARQ
Q284434,LFPY
Q288128,EGLW
Q289972,LSGG
Q301648,RPVG
Q304438,ORBI
Q316344,ETNT
Q317619,EDBH
Q319654,KLGA
Q320257,ETSB
Q321656,EDFZ
Q322119,ETMN
Q323983,EDRB
Q327621,ETHN
Q328183,EDMA
Q332302,FLKK
Q350195,EIME
Q372615,LFBO
Q374558,RCMQ
Q381639,LSZL
Q381808,LPCO
Q383124,LIRM
Q385191,HEGN
Q385356,VIAR
Q387628,OODQ
Q388394,WARI
Q390522,KMHV
Q392728,FALE
Q392790,HTMW
Q420847,FOOL
Q425631,EDTG
Q425631,EDSG
Q427003,SCPC
Q441476,ETUR
Q452290,KMLU
Q459156,EDOP
Q465071,EPWA
Q465260,ETSA
Q472049,KMER
Q474682,EGHC
Q478620,EKYT
Q482497,RKPC
Q491220,RKNN
Q492992,RKSM
Q492994,KAAP
Q493039,RKND
Q493759,KIWA
Q498954,ZSZS
Q500945,LHBP
Q503364,VOBL
Q504382,LTBJ
Q517600,SMAF
Q518910,USHH
Q521292,OYTZ
Q522496,NGTA
Q525486,VMMC
Q528578,KVNY
Q530773,MNMG
Q531481,VEGY
Q531800,ZUBD
Q540273,LICC
Q540512,EGOV
Q542097,VTCL
Q543189,LFTH
Q548523,LHFM
Q551868,EDVA
Q555940,MROC
Q555952,MHRO
Q559107,ZSNJ
Q559454,OIZH
Q571356,LOAN
Q572010,LHSN
Q573547,VOCL
Q576617,KBLV
Q583424,MMPB
Q583587,MPBO
Q585403,BGGD
Q587675,MSLP
Q588038,MSSS
Q589550,MGMM
Q593237,AYKV
Q597021,KDUG
Q597664,EIBR
